type,sample,dg,time,est,lower,upper,sukup,x,age_group,agegr,0,1,total,pros,pr_years,agegr_years,year
ci,all,f0,35,0.135,0.127,0.144,2,35,,,,,,,,,
ci,all,f0,36,0.149,0.141,0.158,2,36,,,,,,,,,
ci,all,f0,37,0.166,0.157,0.175,2,37,,,,,,,,,
ci,all,f0,38,0.185,0.176,0.195,2,38,,,,,,,,,
ci,all,f0,39,0.202,0.192,0.212,2,39,,,,,,,,,
ci,all,f0,40,0.219,0.209,0.23,2,40,,,,,,,,,
ci,all,f0,41,0.237,0.227,0.248,2,41,,,,,,,,,
ci,all,f0,42,0.257,0.246,0.269,2,42,,,,,,,,,
ci,all,f0,43,0.28,0.269,0.292,2,43,,,,,,,,,
ci,all,f0,44,0.307,0.295,0.319,2,44,,,,,,,,,
ci,all,f0,45,0.332,0.32,0.345,2,45,,,,,,,,,
ci,all,f0,46,0.357,0.344,0.37,2,46,,,,,,,,,
ci,all,f0,47,0.386,0.373,0.4,2,47,,,,,,,,,
ci,all,f0,48,0.419,0.405,0.433,2,48,,,,,,,,,
ci,all,f0,49,0.455,0.441,0.47,2,49,,,,,,,,,
ci,all,f0,50,0.493,0.478,0.509,2,50,,,,,,,,,
ci,all,f0,51,0.535,0.52,0.552,2,51,,,,,,,,,
ci,all,f0,52,0.582,0.566,0.599,2,52,,,,,,,,,
ci,all,f0,53,0.632,0.615,0.65,2,53,,,,,,,,,
ci,all,f0,54,0.684,0.667,0.702,2,54,,,,,,,,,
ci,all,f0,55,0.746,0.728,0.764,2,55,,,,,,,,,
ci,all,f0,56,0.813,0.794,0.832,2,56,,,,,,,,,
ci,all,f0,57,0.885,0.866,0.906,2,57,,,,,,,,,
ci,all,f0,58,0.963,0.942,0.984,2,58,,,,,,,,,
ci,all,f0,59,1.041,1.019,1.063,2,59,,,,,,,,,
ci,all,f0,60,1.133,1.111,1.156,2,60,,,,,,,,,
ci,all,f0,61,1.233,1.21,1.257,2,61,,,,,,,,,
ci,all,f0,62,1.346,1.321,1.371,2,62,,,,,,,,,
ci,all,f0,63,1.455,1.43,1.481,2,63,,,,,,,,,
ci,all,f0,64,1.586,1.559,1.613,2,64,,,,,,,,,
ci,all,f0,65,1.74,1.713,1.769,2,65,,,,,,,,,
